Dataset_name,Field_name,Data_type,Description,Notes
Data_Access,vendor_product_id,string,The vendor and product name ID as defined by the vendor.,
Data_Access,vendor_region,string,"The data center region where the change occurred, such as us-west-2.",optional
DLP_Incidents,action,string,The action taken by the DLP device.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,app,string,The application involved in the event.,required for pytest-splunk-addon
DLP_Incidents,category,string,The category of the DLP event.,"recommenderd
required for pytest-splunk-addon"
DLP_Incidents,dest,string,The target of the DLP event.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,dest_bunit,string,The business unit of the DLP target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,dest_category,string,The category of the DLP target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,dest_priority,string,The priority of the DLP target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,dest_zone,string,The zone of the DLP target.,
DLP_Incidents,dlp_type,string,The type of DLP system that generated the event.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,dvc,string,The device that reported the DLP event.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,dvc_bunit,string,The business unit of the DLP target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,dvc_category,string,The category of the DLP device. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,dvc_priority,string,The priority of the DLP device. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,dvc_zone,string,The zone of the DLP device.,
DLP_Incidents,object,string,The name of the affected object.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,object_category,string,The category of the affected object.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,object_path,string,The path of the affected object.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,severity,string,The severity of the DLP event.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,severity_id,string,The numeric or vendor specific severity indicator corresponding to the event severity.,
DLP_Incidents,signature,string,The name of the DLP event.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,signature_id,string,The unique identifier or event code of the event signature.,
DLP_Incidents,src,string,The source of the DLP event.,recommended
DLP_Incidents,src_bunit,string,The business unit of the DLP source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,src_category,string,The category of the DLP source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,src_priority,string,The priority of the DLP source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,src_user,string,The source user of the DLP event.,"recommended
required for pytest-splunk-addon"
DLP_Incidents,src_user_bunit,string,The business unit of the DLP source user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,src_user_category,string,The category of the DLP source user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,src_user_priority,string,The priority of the DLP source user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,src_zone,string,The zone of the DLP source.,
DLP_Incidents,tag,string,This automatically generated field is used to access tags from within datamodels. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,user,string,The target user of the DLP event.,recommended
DLP_Incidents,user_bunit,string,The business unit of the DLP user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,user_category,string,The category of the DLP user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,user_priority,string,The priority of the DLP user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
DLP_Incidents,vendor_product,string,The vendor and product name of the DLP system.,recommended
All_Databases,dest,string,"The destination of the database event. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.",
All_Databases,dest_bunit,string,The business unit of the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Databases,dest_category,string,The category of the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Databases,dest_priority,string,"The priority of the destination, if applicable. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",
All_Databases,duration,number,"The amount of time for the completion of the database event, in seconds.",
All_Databases,object,string,The name of the database object.,
All_Databases,response_time,number,"The amount of time it took to receive a response in the database event, in seconds.",
All_Databases,src,string,"The source of the database event. You can alias this from more specific fields, such as src_host, src_ip, or src_name.",
All_Databases,src_bunit,string,The business unit of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Databases,src_category,string,The category of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Databases,src_priority,string,The priority of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Databases,tag,string,This automatically generated field is used to access tags from within data models. Do not define extractions for this field when writing add-ons.,
All_Databases,user,string,Name of the database process user.,
All_Databases,user_bunit,string,The business unit of the user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Databases,user_category,string,The category associated with the user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Databases,user_priority,string,The priority of the user. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Databases,vendor_product,string,The vendor and product name of the database system. This field can be automatically populated by vendor and product fields in your data.,
Database_Instance,instance_name,string,The name of the database instance.,
Database_Instance,instance_version,string,The version of the database instance.,
Database_Instance,process_limit,number,The maximum number of processes that the database instance can handle.,
Database_Instance,session_limit,number,The maximum number of sessions that the database instance can handle.,
Instance_Stats,availability,string,The status of the database server.,"prescribed values:Available, Not Available"
Instance_Stats,avg_executions,number,The average number of executions for the database instance.,
Instance_Stats,dump_area_used,string,The amount of the database dump area that has been used.,
Instance_Stats,instance_reads,number,The total number of reads for the database instance.,
Instance_Stats,instance_writes,number,The total number of writes for the database instance.,
Instance_Stats,number_of_users,number,The total number of users for the database instance.,
Instance_Stats,processes,number,The number of processes currently running for the database instance.,
Instance_Stats,sessions,number,The total number of sessions currently in use for the database instance.,
Instance_Stats,sga_buffer_cache_size,number,"The total size of the buffer cache for the database instance, in bytes.",
Instance_Stats,sga_buffer_hit_limit,number,The maximum number of number of buffers that can be hit in the database instance without finding a free buffer.,
Instance_Stats,sga_data_dict_hit_ratio,number,The hit-to-miss ratio for the database instance's data dictionary.,
Instance_Stats,sga_fixed_area_size,number,"The size of the fixed area (also referred to as the fixed SGA) for the database instance, in bytes.",
Instance_Stats,sga_free_memory,number,"The total amount of free memory in the database instance SGA, in bytes.",
Instance_Stats,sga_library_cache_size,number,"The total library cache size for the database instance, in bytes.",
Instance_Stats,sga_redo_log_buffer_size,number,"The total size of the redo log buffer for the database instance, in bytes.",
Instance_Stats,sga_shared_pool_size,number,"The total size of the shared pool for this database instance, in bytes.",
Instance_Stats,sga_sql_area_size,number,"The total size of the SQL area for this database instance, in bytes.",
Instance_Stats,start_time,time,The total amount of uptime for the database instance.,
Instance_Stats,tablespace_used,string,"The total amount of tablespace used for the database instance, in bytes.",
Session_Info,buffer_cache_hit_ratio,number,The percentage of logical reads from the buffer during the session (1-physical reads/session logical reads*100).,
Session_Info,commits,number,The number of commits per second performed by the user associated with the session.,
Session_Info,cpu_used,number,The number of CPU centiseconds used by the session. Divide this value by 100 to get the CPU seconds.,
Session_Info,cursor,number,The number of the cursor currently in use by the session.,
Session_Info,elapsed_time,number,"The total amount of time elapsed since the user started the session by logging into the database server, in seconds.",
Session_Info,logical_reads,number,The total number of consistent gets and database block gets performed during the session.,
Session_Info,machine,string,The name of the logical host associated with the database instance.,
Session_Info,memory_sorts,number,The total number of memory sorts performed during the session.,
Session_Info,physical_reads,number,The total number of physical reads performed during the session.,
Session_Info,seconds_in_wait,number,"The description of seconds_in_wait depends on the value of wait_time. If wait_time = 0, seconds_in_wait is the number of seconds spent in the current wait condition. If wait_time has a nonzero value, seconds_in_wait is the number of seconds that have elapsed since the start of the last wait. You can get the active seconds that have elapsed since the last wait ended by calculating seconds_in_wait - wait_time / 100.",
Session_Info,session_id,string,The unique id that identifies the session.,
Session_Info,session_status,string,The current status of the session.,"prescribed values:Online, Offline."
Session_Info,table_scans,number,Number of table scans performed during the session.,
Session_Info,wait_state,string,Provides the current wait state for the session. Can indicate that the session is currently waiting or provide information about the session's last wait.,"prescribed values:WAITING (the session is currently waiting), WAITED UNKNOWN (the duration of the last session wait is unknown), WAITED SHORT TIME (the last session wait was < 1/100th of a second), WAITED KNOWN TIME (the wait_time is the duration of the last session wait)."
Session_Info,wait_time,number,"When wait_time = 0, the session is waiting. When wait_time has a nonzero value, it is displaying the last wait time for the session.",
Lock_Info,last_call_minute,number,"Represents the amount of time elapsed since the session_status changed to its current status. The definition of this field depends on the session_status value. If session_status = ONLINE, the last_call_minute value represents the time elapsed since the session became active. If session_status = OFFLINE, the last_call_minute value represents the time elapsed since the session became inactive.",
Lock_Info,lock_mode,string,The mode of the lock on the object.,
Lock_Info,lock_session_id,string,The session identifier of the locked object.,
Lock_Info,logon_time,number,The database logon time for the session.,
Lock_Info,obj_name,string,The name of the locked object.,
Lock_Info,os_pid,string,The process identifier for the operating system.,
Lock_Info,serial_num,string,The serial number of the object.,
Database_Query,query,string,The full database query.,
Database_Query,query_id,string,The identifier for the database query.,
Database_Query,query_time,time,The time the system initiated the database query.,
Database_Query,records_affected,number,The number of records affected by the database query.,
Tablespace,free_bytes,number,"The total amount of free space in the tablespace, in bytes.",
Tablespace,tablespace_name,string,The name of the tablespace.,
Tablespace,tablespace_reads,number,The number of tablespace reads carried out by the query.,
Tablespace,tablespace_status,string,The status of the tablespace.,"prescribed values:Offline, Online, Read Only"
Tablespace,tablespace_writes,number,The number of tablespace writes carried out by the query.,
Query_Stats,indexes_hit,string,The names of the indexes hit by the database query.,
Query_Stats,query_plan_hit,string,The name of the query plan hit by the query.,
Query_Stats,stored_procedures_called,string,The names of the stored procedures called by the query.,
Query_Stats,tables_hit,string,The names of the tables hit by the query.,
All_Email,action,string,Action taken by the reporting device.,"recommended
required for pytest-splunk-addon
prescribed values:delivered, blocked, quarantined, deleted"
All_Email,delay,number,Total sending delay in milliseconds.,
All_Email,dest,string,"The endpoint system to which the message was delivered. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.","recommended
required for pytest-splunk-addon"
All_Email,dest_bunit,string,The business unit of the endpoint system to which the message was delivered. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,dest_category,string,The category of the endpoint system to which the message was delivered. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,dest_priority,string,The priority of the endpoint system to which the message was delivered. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,duration,number,"The amount of time for the completion of the messaging event, in seconds.",
All_Email,file_hash,string,"The hashes for the files attached to the message, if any exist.",
All_Email,file_name,string,"The names of the files attached to the message, if any exist.",
All_Email,file_size,number,"The size of the files attached the message, in bytes.",
All_Email,internal_message_id,string,Host-specific unique message identifier.,"required for pytest-splunk-addon
other:Such as aid in sendmail, IMI in Domino, Internal-Message-ID in Exchange, and MID in Ironport)."
All_Email,message_id,string,The globally-unique message identifier.,required for pytest-splunk-addon
All_Email,message_info,string,Additional information about the message.,
All_Email,orig_dest,string,The original destination host of the message. The message destination host can change when a message is relayed or bounced.,
All_Email,orig_recipient,string,The original recipient of the message. The message recipient can change when the original email address is an alias and has to be resolved to the actual recipient.,
All_Email,orig_src,string,The original source of the message.,
All_Email,process,string,The name of the email executable that carries out the message transaction.,"other:sendmail, postfix, or the name of an email client"
All_Email,process_id,number,The numeric identifier of the process invoked to send the message.,
All_Email,protocol,string,"The email protocol involved, such as SMTP or RPC.","required for pytest-splunk-addon
prescribed values:smtp, imap, pop3, mapi"
All_Email,recipient,string,A field listing individual recipient email addresses.,"recommended
required for pytest-splunk-addon
other:recipient=""foo@splunk.com"", recipient=""bar@splunk.com"""
All_Email,recipient_count,number,The total number of intended message recipients.,required for pytest-splunk-addon
All_Email,recipient_domain,string,The domain name contained within the recipient email addresses.,recommended
All_Email,recipient_status,string,"The recipient delivery status, if available.",
All_Email,response_time,number,"The amount of time it took to receive a response in the messaging event, in seconds.",
All_Email,retries,number,"The number of times that the message was automatically resent because it was bounced back, or a similar transmission error condition.",
All_Email,return_addr,string,The return address for the message.,
All_Email,size,number,"The size of the message, in bytes.",
All_Email,src,string,"The system that sent the message. You can alias this from more specific fields, such as src_host, src_ip, or src_name.","recommended
required for pytest-splunk-addon"
All_Email,src_bunit,string,The business unit of the system that sent the message. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,src_category,string,The category of the system that sent the message. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,src_priority,string,The priority of the system that sent the message. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,src_user,string,The email address of the message sender.,"recommended
required for pytest-splunk-addon"
All_Email,src_user_bunit,string,The business unit of the message sender. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,src_user_category,string,The category of the message sender. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,src_user_domain,string,The domain name contained within the email address of the message sender.,recommended
All_Email,src_user_priority,string,The priority of the message sender. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,status_code,string,The status code associated with the message.,
All_Email,subject,string,The subject of the message.,
All_Email,tag,string,This automatically generated field is used to access tags from within data models. Do not define extractions for this field when writing add-ons.,
All_Email,url,string,"The URL associated with the message, if any.",
All_Email,user,string,"The user context for the process. This is not the email address for the sender. For that, look at the src_user field.",required for pytest-splunk-addon
All_Email,user_bunit,string,The business unit of the user context for the process. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,user_category,string,The category of the user context for the process. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,user_priority,string,The priority of the user context for the process. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Email,vendor_product,string,The vendor and product of the email server used for the email transaction. This field can be automatically populated by vendor and product fields in your data.,recommended
All_Email,xdelay,string,Extended delay information for the message transaction. May contain details of all the delays from all the servers in the message transmission chain.,
All_Email,xref,string,An external reference. Can contain message IDs or recipient addresses from related messages.,
Filtering,filter_action,string,The status produced by the filter.,"other:accepted, rejected, dropped"
Filtering,filter_score,number,Numeric indicator assigned to specific emails by an email filter.,
Filtering,signature,string,The name of the filter applied.,recommended
Filtering,signature_extra,string,Any additional information about the filter.,
Filtering,signature_id,string,The id associated with the filter name.,
Ports,creation_time,timestamp,The time at which the network port started listening on the endpoint.,
Ports,dest,string,"The endpoint on which the port is listening.
Expression: if(isnull(dest) OR dest=\""\"",\""unknown\"",dest)","recommended
required for pytest-splunk-addon"
Ports,dest_bunit,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,dest_category,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,dest_port,number,"Network port listening on the endpoint, such as 53.","recommended
required for pytest-splunk-addon"
Ports,dest_priority,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,dest_requires_av,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,dest_should_timesync,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,dest_should_update,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,process_guid,string,The globally unique identifier of the process assigned by the vendor_product.,
Ports,process_id,string,The numeric identifier of the process assigned by the operating system.,
Ports,src,string,"The ""remote"" system connected to the listening port (if applicable).
Expression: if(isnull(src) OR src=\""\"",\""unknown\"",src)","recommended
required for pytest-splunk-addon"
Ports,src_category,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,src_priority,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,src_port,number,"The ""remote"" port connected to the listening port (if applicable).
Expression: if(isnum(src_port),src_port,0)","recommended
required for pytest-splunk-addon"
Ports,src_requires_av,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,src_should_timesync,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,src_should_update,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,state,string,"The status of the listening port, such as established, listening, etc.",required for pytest-splunk-addon
Ports,tag,string,This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.,
Ports,transport,string,"The network transport protocol associated with the listening port, such as tcp, udp, etc.""","recommended
required for pytest-splunk-addon"
Ports,transport_dest_port,string,"Calculated as transport/dest_port, such as tcp/53.",
Ports,user,string,"The user account associated with the listening port.
Expression: if(isnull(user) OR user=\""\"",\""unknown\"",user)",recommended
Ports,user_bunit,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,user_category,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Ports,user_priority,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,action,string,"The action taken by the endpoint, such as allowed, blocked, deferred.",required for pytest-splunk-addon
Processes,cpu_load_percent,number,CPU load consumed by the process (in percent).,
Processes,dest,string,"The endpoint for which the process was spawned.
Expression: if(isnull(dest) OR dest=\""\"",\""unknown\"",dest)","recommended
required for pytest-splunk-addon"
Processes,dest_bunit,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,dest_category,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,dest_is_expected,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Processes,dest_priority,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,dest_requires_av,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,dest_should_timesync,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,dest_should_update,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,mem_used,number,Memory used by the process (in bytes).,
Processes,original_file_name,string,"Original name of the file, not including path. Sometimes this field is similar to process name but the two do not always match, such as process_name=pwsh and original_file_name=powershell.exe to detect renamed instances of any process executing.",recommended
Processes,os,string,"The operating system of the resource, such as Microsoft Windows Server 2008r2.",
Processes,parent_process,string,"The full command string of the parent process.
Expression: if(isnull(parent_process) OR parent_process=\""\"",\""unknown\"",
parent_process)",recommended
Processes,parent_process_exec,string,The executable name of the parent process.,
Processes,parent_process_id,number,The numeric identifier of the parent process assigned by the operating system.,required for pytest-splunk-addon
Processes,parent_process_guid,string,The globally unique identifier of the parent process assigned by the vendor_product.,
Processes,parent_process_name,string,"The friendly name of the parent process, such as notepad.exe.
Expression: case(isnotnull(parent_process_name) AND parent_process_name!=\""\"",parent_process_name,
isnotnull(parent_process) AND parent_process!=\""\"",replace(parent_process,
\""^\\s*([^\\s]+).*\"",\""\\1\""),1=1,\""unknown\"")""","recommended
required for pytest-splunk-addon"
Processes,parent_process_path,string,"The file path of the parent process, such as C:\Windows\System32\notepad.exe.",required for pytest-splunk-addon
Processes,process,string,"The full command string of the spawned process. Such as C:\\WINDOWS\\system32\\cmd.exe \/c \""\""C:\\Program Files\\SplunkUniversalForwarder\\etc\\system\\bin\\powershell.cmd\"" --scheme\"""". There is a limit of 2048 characters.
Expression: if(isnull(process) OR process=\""\"",\""unknown\"",process)","recommended
required for pytest-splunk-addon"
Processes,process_current_directory,string,The current working directory used to spawn the process.,
Processes,process_exec,string,"The executable name of the process, such as notepad.exe. Sometimes this is similar to process_name, such as notepad. However in malicious scenarios, such as Fruitfly, the process_exec is Perl while the process_name is Java.",required for pytest-splunk-addon
Processes,process_hash,string,"The digests of the parent process, such as <md5>, <sha1>, etc.",
Processes,process_guid,string,The globally unique identifier of the process assigned by the vendor_product.,
Processes,process_id,number,The numeric identifier of the process assigned by the operating system.,required for pytest-splunk-addon
Processes,process_integrity_level,string,The Windows integrity level of the process.,"prescribed values:system, high, medium, low, untrusted"
Processes,process_name,string,"The friendly name of the process, such as notepad.exe. Sometimes this is similar to process_exec, such as notepad.exe. However in malicious scenarios, such as Fruitfly, the process_exec is Perl while the process_name is Java.
Expression: case(isnotnull(process_name) AND process_name!=\""\"",process_name,isnotnull
(process) AND process!=\""\"",replace(process,\""^\\s*([^\\s]+).*\"",\""\\1\""),1=1,\""unknown\"")","recommended
required for pytest-splunk-addon"
Processes,process_path,string,"The file path of the process, such as C:\Windows\System32\notepad.exe.",required for pytest-splunk-addon
Processes,tag,string,This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.,
Processes,user,string,"The user account that spawned the process.
Expression: if(isnull(user) OR user=\""\"",\""unknown\"",user)","recommended
required for pytest-splunk-addon"
Processes,user_id,string,The unique identifier of the user account which spawned the process.,
Processes,user_bunit,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,user_category,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,user_priority,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Processes,vendor_product,string,"The vendor and product name of the Endpoint solution that reported the event, such as Carbon Black Cb Response. This field can be automatically populated by vendor and product fields in your data.""
Expression: case(isnotnull(vendor_product),vendor_product,
isnotnull(vendor) AND vendor!=\""unknown\"" AND isnotnull(product) AND product!=\""unknown\"",vendor.\"" \"".product,isnotnull(vendor) AND vendor!=\""unknown\"" AND (isnull(product) OR product=\""unknown\""),vendor.\"" unknown\"",(isnull(vendor) OR vendor=\""unknown\"") AND isnotnull(product) AND product!=\""unknown\"",\""unknown \"".product,isnotnull(sourcetype),sourcetype,
1=1,\""unknown\"")",recommended
Services,description,string,The description of the service.,
Services,dest,string,"The endpoint for which the service is installed.
Expression: if(isnull(dest) OR dest=\""\"",\""unknown\"",dest)","recommended
required for pytest-splunk-addon"
Services,dest_bunit,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Services,dest_category,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Services,dest_is_expected,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Services,dest_priority,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Services,dest_requires_av,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Services,dest_should_timesync,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Services,dest_should_update,boolean,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Services,process_guid,string,The globally unique identifier of the process assigned by the vendor_product.,
Services,process_id,string,The numeric identifier of the process assigned by the operating system.,
Services,service,string,"The full service name.
Expression: if(isnull(service) OR service=\""\"",\""unknown\"",service)","recommended
required for pytest-splunk-addon"
Services,service_dll,string,The dynamic link library associated with the service.,
Services,service_dll_path,string,"The file path to the dynamic link library assocatied with the service, such as C:\Windows\System32\comdlg32.dll.",
Services,service_dll_hash,string,"The digests of the dynamic link library associated with the service, such as <md5>, <sha1>, etc.",
Services,service_dll_signature_exists,boolean,Whether or not the dynamic link library associated with the service has a digitally signed signature.,
Services,service_dll_signature_verified,boolean,Whether or not the dynamic link library associated with the service has had its digitally signed signature verified.,
Services,service_exec,string,The executable name of the service.,
Services,service_hash,string,"The digest(s) of the service, such as <md5>, <sha1>, etc.",
Services,service_id,string,"The unique identifier of the service assigned by the operating system.
Expression: if(isnull(service_id) OR service_id=\""\"",\""unknown\"",service_id)",recommended
Services,service_name,string,"The friendly service name.
Expression: if(isnull(service_name) OR service_name=\""\"",\""unknown\"",service_name)","recommended
required for pytest-splunk-addon"
Services,service_path,string,"The file path of the service, such as C:\WINDOWS\system32\svchost.exe.",required for pytest-splunk-addon
Services,service_signature_exists,boolean,Whether or not the service has a digitally signed signature.,
Services,service_signature_verified,boolean,Whether or not the service has had its digitally signed signature verified.,
Services,start_mode,string,"The start mode for the service.
Expression: if(isnull(start_mode) OR start_mode=\""\"",\""unknown\"",start_mode)","recommended
required for pytest-splunk-addon
prescribed values:disabled, manual, auto"
Services,status,string,"The status of the service.
Expression: if(isnull(dest) OR dest=\""\"",\""unknown\"",dest)","recommended
required for pytest-splunk-addon
prescribed values:critical, started, stopped, warning"
Services,tag,string,This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.,
Services,user,string,"The user account associated with the service.
Expression: if(isnull(user) OR user=\""\"",\""unknown\"",user)","recommended
required for pytest-splunk-addon"
Services,user_bunit,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Services,user_category,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
Services,user_priority,string,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this fields when writing add-ons.,
